#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
1154,Terry Davis,480,10369,3061,1202,2545,47.2,3,19,15.8,654,1081,60.5,1106,1781,2887,273,183,149,518,47.3,50.7
1155,Walter McCarty,593,10372,3056,1092,2786,39.2,456,1318,34.6,416,596,69.8,410,1144,1554,670,380,173,520,47.4,50.1
1156,Eduardo Najera,619,11213,3052,1204,2505,48.1,110,354,31.1,534,796,67.1,897,1410,2307,493,446,231,402,50.3,53.4
1157,Don Ford,474,9301,3016,1313,2828,46.4,1,7,14.3,389,503,77.3,544,1147,1691,647,274,139,296,46.4,49.5
1158,Matt Carroll,459,7587,3013,1030,2496,41.3,344,896,38.4,609,724,84.1,147,716,863,313,223,60,297,48.2,53.5
1159,Anthony Carter,623,12183,3009,1230,3043,40.4,116,464,25,433,613,70.6,244,1058,1302,2363,601,115,958,42.3,45.4
1160,Jared Jeffries,629,13580,3003,1163,2728,42.6,73,292,25,604,1036,58.3,1166,1397,2563,798,435,323,674,44,47.2
1161,Shelvin Mack,456,8392,2997,1165,2752,42.3,302,916,33,365,499,73.1,118,776,894,1421,300,24,560,47.8,50.4
1162,Adonal Foyle,733,13059,2989,1318,2766,47.7,0,2,0,353,707,49.9,1301,2160,3461,344,264,1193,597,47.7,48.6
1163,Michael Curry,667,13198,2986,1094,2448,44.7,79,265,29.8,719,872,82.5,198,847,1045,804,333,66,459,46.3,52.7
1164,Brandan Wright,428,6949,2976,1271,2095,60.7,0,12,0,434,644,67.4,586,974,1560,199,198,425,202,60.7,62.6
1165,Kelvin Cato,541,10615,2960,1123,2216,50.7,1,13,7.7,713,1107,64.4,884,1990,2874,244,292,685,448,50.7,54.8
1166,Lee Winfield,403,7383,2959,1191,2511,47.4,0,0,0,577,864,66.8,72,121,828,1003,68,41,0,47.4,51.2
1167,Dave Piontek,413,7623,2955,1194,3054,39.1,0,0,0,567,869,65.2,0,0,1770,478,0,0,0,39.1,43
1168,Anthony Bowie,461,8349,2945,1247,2628,47.5,67,211,31.8,384,466,82.4,299,722,1021,840,288,106,478,48.7,52
1169,Fred Hoiberg,541,9975,2944,959,2227,43.1,373,941,39.6,653,765,85.4,143,1295,1438,846,428,59,292,51.4,57.4
1170,Bill Willoughby,488,8647,2930,1224,2606,47,10,40,25,472,629,75,685,1206,1891,413,209,293,390,47.2,50.8
1171,Coby Dietrick,480,9241,2915,1210,2588,46.8,3,16,18.8,492,664,74.1,517,1352,1869,990,428,284,481,46.8,50.6
1172,Corky Calhoun,542,10901,2896,1200,2609,46,0,0,0,496,634,78.2,525,1099,1962,601,293,132,121,46,50.1
1173,Monty Williams,456,7627,2884,1143,2375,48.1,4,36,11.1,594,893,66.5,501,795,1296,544,251,137,554,48.2,52.1
1174,Michael Doleac,587,8791,2882,1246,2838,43.9,1,8,12.5,389,492,79.1,582,1373,1955,343,200,209,376,43.9,47.2
1175,Tyler Hansbrough,428,7233,2881,947,2156,43.9,3,22,13.6,984,1333,73.8,745,1063,1808,181,207,91,319,44,52.5
1176,Greg Buckner,570,10890,2878,1120,2491,45,239,716,33.4,399,527,75.7,457,1136,1593,719,454,111,394,49.8,52.8
1177,Brian Skinner,608,10910,2876,1194,2419,49.4,2,6,33.3,486,858,56.6,919,1922,2841,288,256,532,519,49.4,51.4
1177,Arthur Williams,541,9329,2876,1175,2872,40.9,0,0,0,526,722,72.9,20,95,1700,2377,44,3,0,40.9,45.1
1179,Tyler Zeller,412,7250,2871,1160,2280,50.9,10,35,28.6,541,708,76.4,634,1182,1816,367,104,241,348,51.1,55.4
1180,DeJuan Blair,424,7054,2865,1242,2371,52.4,0,9,0,381,627,60.8,810,1343,2153,349,316,127,471,52.4,54.1
1181,Cornell Warner,445,10508,2860,1190,2630,45.2,0,0,0,480,714,67.2,588,1412,3353,494,132,144,0,45.2,48.6
1182,Stacey King,438,7406,2819,1071,2240,47.8,4,17,23.5,673,952,70.7,597,863,1460,387,173,210,527,47.9,53
1183,Mike Farmer,423,8818,2816,1165,2965,39.3,0,0,0,486,597,81.4,0,0,1950,550,0,0,0,39.3,43.6
1184,Andrew DeClercq,587,9838,2815,1118,2207,50.7,0,2,0,579,932,62.1,1025,1463,2488,339,390,301,550,50.7,53.8
1185,Darko Milicic,468,8638,2813,1196,2602,46,0,6,0,421,734,57.4,628,1343,1971,405,206,613,573,46,48.1
1186,Aron Baynes,469,7390,2791,1109,2239,49.5,84,257,32.7,489,611,80,718,1405,2123,374,101,232,399,51.4,55.6
1187,Hank Finkel,551,6866,2790,1125,2508,44.9,0,0,0,540,816,66.2,74,173,2151,426,10,10,0,44.9,48.7
1188,Sasha Pavlovic,567,8887,2787,1070,2651,40.4,308,890,34.6,339,504,67.3,188,812,1000,517,272,98,460,46.2,48.5
1189,Paul Mokeski,694,9739,2764,1099,2437,45.1,11,51,21.6,555,800,69.4,709,1633,2342,500,228,309,585,45.3,49.6
1190,Alonzo Gee,417,9071,2754,1001,2309,43.4,186,572,32.5,566,751,75.4,389,971,1360,441,379,101,447,47.4,52.2
1191,Jeff Cook,518,9697,2734,1085,2351,46.2,1,18,5.6,563,786,71.6,857,1477,2334,707,306,215,569,46.2,50.7
1192,Chuck Cooper,409,7964,2725,933,2750,33.9,0,0,0,859,1156,74.3,0,0,2431,734,0,0,0,33.9,41.8
1193,Luke Walton,564,9685,2649,1050,2449,42.9,182,558,32.6,367,513,71.5,481,1107,1588,1317,313,102,597,46.6,49.5
1194,Duane Causwell,541,9422,2648,1029,2029,50.7,2,7,28.6,588,952,61.8,794,1479,2273,243,220,767,500,50.8,54.1
1195,Danny Young,574,9536,2622,984,2253,43.7,194,594,32.7,460,551,83.5,168,541,709,1674,507,37,472,48,52.5
1196,Jason Collins,735,14970,2621,918,2234,41.1,7,34,20.6,778,1202,64.7,915,1791,2706,626,368,359,605,41.2,47.4
1197,Hub Reed,479,7870,2618,1081,2481,43.6,0,0,0,456,630,72.4,0,0,2449,367,0,0,0,43.6,47.5
1198,Danny Vranes,510,10624,2613,1056,2131,49.6,2,19,10.5,499,875,57,763,1235,1998,594,333,271,519,49.6,51.9
1199,Jan Van Breda Kolff,434,10155,2596,932,2123,43.9,9,30,30,723,888,81.4,500,1278,1778,815,363,329,506,44.1,51.6
1200,Kyle O'Quinn,469,6659,2553,1078,2086,51.7,31,138,22.5,366,495,73.9,626,1522,2148,627,187,451,456,52.4,55.4
1200,Dave Wohl,410,8142,2553,1015,2361,43,0,0,0,523,697,75,63,236,558,1397,219,18,16,43,47.9
1202,Dean Meminger,416,8554,2552,1004,2112,47.5,0,0,0,544,867,62.7,286,386,1086,1046,242,28,0,47.5,51.2
1203,Lee Mayberry,496,10345,2546,950,2287,41.5,379,1006,37.7,267,405,65.9,142,500,642,1767,352,43,591,49.8,51.6
1204,Glen Gondrezick,435,7545,2544,979,2069,47.3,2,14,14.3,584,807,72.4,730,1234,1964,605,485,117,453,47.4,52.5
1205,Greg Foster,656,7975,2538,1047,2382,44,20,89,22.5,424,567,74.8,509,1182,1691,351,94,194,465,44.4,48.2
1206,Michael Smith,449,10544,2527,950,1767,53.8,1,7,14.3,626,1183,52.9,1122,2071,3193,661,361,248,526,53.8,55.2
1207,Kevin Seraphin,423,6430,2516,1134,2318,48.9,0,7,0,248,347,71.5,502,960,1462,246,88,304,449,48.9,50.9
1208,Tony Smith,457,7296,2504,1017,2362,43.1,120,391,30.7,350,507,69,324,411,735,881,319,79,442,45.6,48.4
1209,Kevin Ollie,662,10297,2496,845,2060,41,9,29,31,797,1006,79.2,146,872,1018,1501,335,25,492,41.2,49.9
1210,Pete Chilcutt,584,8394,2494,1044,2368,44.1,188,494,38.1,218,313,69.6,663,1272,1935,488,267,210,390,48.1,49.8
1211,Joe Wolf,592,9634,2485,1068,2523,42.3,18,110,16.4,331,430,77,595,1338,1933,596,257,131,509,42.7,45.8
1212,Meyers Leonard,442,7082,2483,952,1969,48.3,322,822,39.2,257,316,81.3,318,1400,1718,391,82,127,303,56.5,58.9
1213,Carl Herrera,465,8036,2481,1039,2183,47.6,2,14,14.3,401,624,64.3,577,1113,1690,261,237,204,447,47.6,50.5
1213,Brent Price,418,7008,2481,818,1918,42.6,363,938,38.7,482,585,82.4,175,509,684,1236,313,16,626,52.1,57
1215,Omer Asik,471,9216,2479,947,1795,52.8,0,1,0,585,1062,55.1,1036,2326,3362,280,167,339,542,52.8,54.8
1216,Mark Landsberger,437,7306,2468,1024,2128,48.1,0,3,0,420,805,52.2,1041,1640,2681,236,124,70,473,48.1,49.7
1217,Dan Gadzuric,527,7792,2465,1049,2100,50,0,8,0,367,737,49.8,910,1416,2326,196,242,448,357,50,50.8
1218,Paul Griffin,480,10053,2443,837,1657,50.5,0,0,0,769,1111,69.2,894,1756,2650,1116,403,248,638,50.5,56.9
1219,Matthew Dellavedova,434,8850,2427,863,2217,38.9,396,1075,36.8,305,364,83.8,161,613,774,1591,202,20,546,47.9,51
1220,Chuck Hayes,644,11814,2410,1047,2104,49.8,0,14,0,316,510,62,1119,2124,3243,781,478,237,461,49.8,51.8
1221,Elston Turner,505,9006,2397,1049,2429,43.2,7,46,15.2,292,409,71.4,556,819,1375,914,442,28,455,43.3,45.9
1222,John Mahnken,414,1352,2388,966,3557,27.2,0,0,0,456,702,65,0,0,533,539,0,0,0,27.2,30.9
1223,Jud Buechler,720,8442,2385,961,2221,43.3,263,718,36.6,200,316,63.3,431,835,1266,560,314,144,297,49.2,50.5
1224,Samaki Walker,445,7610,2376,936,2026,46.2,1,9,11.1,503,798,63,627,1462,2089,252,134,316,403,46.2,50
1225,Jaren Jackson,431,7206,2370,865,2215,39.1,346,980,35.3,294,385,76.4,207,579,786,500,258,53,348,46.9,49.7
1226,Etan Thomas,409,7086,2341,890,1734,51.3,0,0,0,561,930,60.3,677,1250,1927,149,128,427,385,51.3,54.6
1227,Harvey Catchings,725,13182,2335,926,2127,43.5,0,3,0,483,747,64.7,1267,2372,3639,608,261,1226,594,43.5,47.5
1228,Malik Allen,478,7262,2334,1039,2365,43.9,3,16,18.8,253,325,77.8,466,887,1353,228,130,220,320,44,46.5
1229,Josh McRoberts,433,8271,2333,914,1972,46.3,196,576,34,309,438,70.5,468,1218,1686,901,222,194,381,51.3,53.9
1230,Marc Iavaroni,531,8371,2328,899,1959,45.9,0,17,0,530,746,71,565,1160,1725,514,185,200,639,45.9,50.9
1231,Len Elmore,505,8384,2327,929,2252,41.3,0,1,0,469,656,71.5,713,1433,2146,459,379,405,522,41.3,45.8
1232,Brian Cook,421,5646,2312,915,2083,43.9,262,686,38.2,220,281,78.3,308,807,1115,252,135,134,252,50.2,52.4
1233,Joel Przybilla,592,11733,2293,896,1624,55.2,0,3,0,501,900,55.7,1112,2553,3665,256,157,836,574,55.2,56.8
1234,Corie Blount,644,9922,2287,959,2038,47.1,3,26,11.5,366,624,58.7,1085,1605,2690,460,328,266,519,47.1,49.4
1235,Moochie Norris,445,7637,2272,816,2033,40.1,116,406,28.6,524,708,74,209,659,868,1233,321,19,524,43,48.5
1236,Richard Anderson,407,6002,2260,909,2206,41.2,148,445,33.3,294,386,76.2,457,961,1418,611,225,94,362,44.6,47.6
1237,Doug Overton,499,7279,2253,880,2134,41.2,108,339,31.9,385,472,81.6,140,514,654,1038,202,19,473,43.8,48.1
1238,Milt Palacio,470,8421,2243,863,2060,41.9,40,170,23.5,477,663,71.9,159,672,831,1194,302,58,596,42.9,47.7
1239,Scot Pollard,506,8375,2222,858,1738,49.4,0,2,0,506,714,70.9,901,1450,2351,220,299,352,304,49.4,54.1
1240,George Wilson,410,5768,2216,841,2261,37.2,0,0,0,534,789,67.7,0,0,2144,307,0,0,0,37.2,42.5
1241,Charlie Davis,415,5050,2214,970,2152,45.1,19,112,17,255,346,73.7,378,630,1008,309,127,74,334,45.5,48
1242,Ronny Turiaf,473,8020,2209,856,1607,53.3,0,7,0,497,782,63.6,520,1237,1757,618,181,593,358,53.3,56.6
1243,Johan Petro,473,7262,2202,976,2114,46.2,2,13,15.4,248,366,67.8,536,1300,1836,227,193,234,374,46.2,48.4
1244,Steve Novak,467,5657,2177,751,1717,43.7,575,1337,43,100,114,87.7,68,523,591,132,91,38,81,60.5,61.6
1245,Brian Cardinal,456,6476,2108,664,1628,40.8,243,653,37.2,537,624,86.1,286,764,1050,465,295,69,330,48.2,55.4
1246,Jarron Collins,542,8542,2095,682,1500,45.5,0,5,0,731,1046,69.9,645,934,1579,419,138,98,334,45.5,53.4
1247,Robert Traylor,438,6243,2085,841,1774,47.4,4,24,16.7,399,691,57.7,671,969,1640,312,280,306,400,47.5,50.2
1248,Lew Hitch,414,8364,2075,759,2021,37.6,0,0,0,557,827,67.4,0,0,2183,499,0,0,0,37.6,43.5
1249,Eric Montross,465,8478,2071,891,1819,49,0,3,0,289,604,47.8,716,1443,2159,207,122,275,405,49,49.7
1250,Cherokee Parks,472,7461,2056,868,1848,47,8,38,21.1,312,495,63,564,1139,1703,265,207,306,281,47.2,49.8
1251,Ronnie Price,544,7293,2015,738,1980,37.3,244,808,30.2,295,400,73.8,176,482,658,960,424,56,476,43.4,46.7
1252,Adrian Griffin,477,8002,1919,785,1794,43.8,50,180,27.8,299,392,76.3,507,1005,1512,653,436,59,331,45.2,48.8
1253,Ryan Hollins,518,6134,1913,687,1177,58.4,0,1,0,539,830,64.9,457,683,1140,151,94,271,384,58.4,62
1254,John Crotty,477,5795,1903,625,1449,43.1,144,375,38.4,509,608,83.7,136,366,502,999,181,20,428,48.1,55.4
1255,Scott Padgett,448,5611,1874,679,1658,41,240,644,37.3,276,375,73.6,402,825,1227,325,182,86,253,48.2,51.4
1256,Quinton Ross,458,8453,1863,764,1824,41.9,49,154,31.8,286,402,71.1,267,680,947,431,263,129,217,43.2,46.6
1257,Keith Askins,486,7979,1852,677,1688,40.1,275,774,35.5,223,311,71.7,525,903,1428,375,278,170,321,48.3,50.7
1258,Eric Leckner,449,5452,1835,713,1403,50.8,0,5,0,409,611,66.9,362,1056,1418,211,84,140,386,50.8,54.9
1259,Charles Jones,726,14094,1826,725,1510,48,0,7,0,376,608,61.8,1112,2141,3253,623,442,1134,487,48,51.4
1260,Steven Hunter,400,5991,1817,735,1313,56,0,1,0,347,715,48.5,482,782,1264,79,49,422,249,56,55.8
1261,Jake Voskuhl,450,6439,1814,673,1381,48.7,1,3,33.3,467,654,71.4,562,977,1539,237,148,166,340,48.8,54.4
1262,Francisco Elson,472,7210,1726,725,1517,47.8,3,16,18.8,273,390,70,497,1141,1638,260,228,255,355,47.9,51.1
1263,Greg Kite,680,10080,1717,716,1634,43.8,1,6,16.7,284,584,48.6,903,1704,2607,345,171,414,543,43.8,45.4
1264,John Lambert,446,5564,1688,725,1694,42.8,1,12,8.3,237,342,69.3,561,932,1493,248,153,172,258,42.8,45.8
1265,Scott Hastings,578,5985,1647,584,1323,44.1,28,96,29.2,451,556,81.1,424,863,1287,284,159,153,325,45.2,52.5
1266,Royal Ivey,492,6162,1641,622,1531,40.6,162,449,36.1,235,333,70.6,147,410,557,501,230,38,255,45.9,48.9
1267,David Wood,412,5546,1602,567,1263,44.9,111,328,33.8,357,455,78.5,388,616,1004,291,164,76,236,49.3,54.7
1268,Manute Bol,624,11698,1599,665,1635,40.7,43,205,21,226,403,56.1,596,2051,2647,171,126,2086,451,42,44.1
1269,Brian Scalabrine,520,6772,1594,590,1512,39,180,523,34.4,234,299,78.3,275,759,1034,436,157,121,341,45,48.5
1270,Lou Amundson,428,5507,1564,648,1368,47.4,0,3,0,268,603,44.4,644,897,1541,190,152,306,299,47.4,47.9
1271,Don Reid,403,5373,1454,583,1099,53,0,1,0,288,438,65.8,437,732,1169,143,182,282,253,53,56.3
1272,Ed Nealy,540,6792,1451,553,1111,49.8,38,130,29.2,307,449,68.4,585,1214,1799,392,256,51,226,51.5,55.4
1273,Ryan Bowen,507,6505,1319,544,1192,45.6,14,68,20.6,217,313,69.3,506,554,1060,250,325,138,168,46.2,49.6
1274,DeSagana Diop,601,8402,1185,503,1177,42.7,1,6,16.7,178,381,46.7,834,1385,2219,270,227,630,355,42.8,44.1
1275,Darvin Ham,417,5173,1139,443,856,51.8,4,16,25,249,504,49.4,472,491,963,229,136,154,308,52,52.8
1276,Jim McIlvaine,401,5931,1072,423,948,44.6,1,10,10,225,408,55.1,479,764,1243,105,136,691,231,44.7,47.5
1277,Joel Anthony,490,7056,1064,398,776,51.3,0,0,0,268,405,66.2,562,791,1353,99,127,531,227,51.3,55.8
1278,Greg Dreiling,474,4239,1014,375,803,46.7,3,9,33.3,261,402,64.9,287,731,1018,186,82,137,250,46.9,51.7
1279,Mark Madsen,453,5335,975,381,834,45.7,1,16,6.3,212,402,52.7,559,598,1157,181,116,102,206,45.7,48.2
1280,Michael Ruffin,414,5966,716,258,634,40.7,0,3,0,200,436,45.9,729,903,1632,250,199,193,273,40.7,43.3
